ParName   Value   Gradient
theta[2]      20.0244 -0.000772228
theta[3]      17.2537   -0.0177593
theta[5]     0.808466 -3.46916e-05
theta[7]    -0.642458 -8.87986e-06
theta[11]      1.05166 -3.55594e-05
theta[12]     0.743023 -3.73085e-05
theta[13]     0.954538 -3.45705e-05
theta[14]     0.788085  8.61639e-06
theta[15]     0.602976 -2.61959e-05
theta[16]       0.5474 -2.91457e-05
theta[17]     0.365492  2.97204e-06
theta[18]     0.381128 -1.33779e-05
theta[19]     0.398999  1.53915e-05
theta[20]     0.156745 -2.43905e-05
theta[21]     0.121334  4.37894e-05
theta[22]  -0.00235132 -2.99893e-05
theta[23]    0.0928142 -3.09442e-06
theta[24]   -0.0754073  1.69941e-06
theta[25]    -0.321985 -2.80101e-05
theta[26]    -0.478897 -1.49503e-05
theta[27]    -0.831168 -1.40056e-05
theta[28]     -1.29428 -1.56395e-05
theta[29]     -1.33694 -6.09694e-06
theta[50]      1.51325  7.25523e-06
theta[51]      1.50912  2.37577e-05
theta[52]      1.42123  7.49524e-06
theta[53]      1.18407  4.73351e-05
theta[54]      1.10807   3.8251e-05
theta[55]     0.633901 -9.08577e-06
theta[56]     0.229296 -2.93971e-06
theta[57]  -0.00859762  1.24671e-05
theta[58]    -0.204721  4.11311e-05
theta[59]    -0.547826  -3.2139e-05
theta[60]    -0.941347 -7.56898e-06
theta[61]     -1.20201  7.93254e-05
theta[62]     -1.43409  6.16718e-05
theta[63]     -1.81942 -2.30156e-05
theta[64]     -1.92732 -9.80884e-06
theta[65]     -1.87048 -2.51398e-05
G_pars_est[21]      1.02403 -1.06822e-05
G_pars_est[42]      1.38813 -1.31737e-05
G_pars_est[83]      142.872 -2.71107e-05
G_pars_est[84]    0.0554624   -2.636e-05
G_pars_est[85]      140.879  -0.00134842
G_pars_est[86]    0.0685652  0.000356708
M_pars_est[1]     0.230206   0.00100785
M_pars_est[2]      1.47637  0.000407909
M_pars_est[3]     0.141149  5.07582e-05
S_pars_est[1]      4.77983 -2.29737e-05
S_pars_est[2]      2.26998  1.08853e-05
S_pars_est[3]      5.13838 -2.72765e-05
S_pars_est[4]      2.79022  3.93219e-05
S_pars_est[5]       4.7115  7.35625e-05
S_pars_est[6]      2.16831  1.38301e-05
S_pars_est[7]      4.78926  3.99443e-05
S_pars_est[8]      2.29245  1.11218e-05
S_pars_est[9]      4.14054  1.24494e-05
S_pars_est[10]      2.26889  6.95152e-06
S_pars_est[11]      4.07852  4.37564e-05
S_pars_est[12]       3.5926  7.30237e-06
S_pars_est[13]      4.46471  0.000943059
S_pars_est[14]      2.53917 -3.23586e-05
S_pars_est[15]      4.56483  0.000145329
S_pars_est[16]      2.22637 -6.15136e-05
S_pars_est[17]      4.73666  4.07141e-06
S_pars_est[18]     0.902949 -2.75473e-06
S_pars_est[19]      4.92351   0.00295743
S_pars_est[20]     0.677098  8.29681e-06
S_pars_est[21]      4.93254  0.000297079
S_pars_est[22]     0.732238 -1.46742e-05
log_fbar[1]     -1.74373  -0.00224938
log_fbar[2]     -4.43362  9.97876e-05
log_fbar[3]     -5.72796 -0.000293972
log_fbar[4]     -6.58493 -0.000111798
log_fdev[1](1)     0.923878  6.37906e-05
log_fdev[1](2)     0.887182  6.45612e-05
log_fdev[1](3)     0.807867  8.10695e-05
log_fdev[1](4)      0.90089  5.34424e-05
log_fdev[1](5)      1.11349  2.40037e-05
log_fdev[1](6)       1.9791  0.000159212
log_fdev[1](7)       2.5195  1.51313e-05
log_fdev[1](8)     0.962222 -2.56408e-05
log_fdev[1](9)     -8.68398   1.1354e-05
log_fdev[1](10)      1.46861 -8.19004e-06
log_fdev[1](11)      1.49034  4.22666e-05
log_fdev[1](12)      1.57588  0.000185612
log_fdev[1](13)      1.06428  0.000144667
log_fdev[1](14)    0.0991031  9.24301e-05
log_fdev[1](15)     0.208676  9.08631e-05
log_fdev[1](16)     0.853382   0.00010173
log_fdev[1](17)     0.857377  9.05799e-05
log_fdev[1](18)     0.340232 -8.91102e-05
log_fdev[1](19)     0.996212  4.55568e-05
log_fdev[1](20)     -4.17083 -9.26791e-05
log_fdev[1](21)     -4.56596 -7.22653e-05
log_fdev[1](22)   -0.0769582  1.94609e-05
log_fdev[1](23)   -0.0121986  -2.2517e-05
log_fdev[1](24)     0.903486  7.91192e-06
log_fdev[1](25)     0.522744 -2.11553e-05
log_fdev[1](26)   -0.0668337   5.3566e-05
log_fdev[1](27)    -0.131925  6.08855e-05
log_fdev[1](28)   -0.0128202 -1.87041e-05
log_fdev[1](29)     0.447985  -3.3489e-05
log_fdev[1](30)     0.405214  0.000126313
log_fdev[1](31)     0.697183  8.30471e-05
log_fdev[1](32)     0.441741 -4.74146e-05
log_fdev[1](33)     0.806599 -1.46429e-05
log_fdev[1](34)     0.971816  9.73668e-05
log_fdev[1](35)     0.771506  0.000216888
log_fdev[1](36)     0.626376  9.76623e-05
log_fdev[1](37)   -0.0113519 -2.87614e-05
log_fdev[1](38)    -0.074919  5.07575e-06
log_fdev[1](39)     0.125068  4.04699e-05
log_fdev[1](40)     0.457167  0.000122389
log_fdev[1](41)     0.526887  0.000126237
log_fdev[1](42)     0.530829  3.42646e-06
log_fdev[1](43)     0.455173  2.61698e-05
log_fdev[1](44)     0.285814  4.72095e-05
log_fdev[1](45)      0.24346  4.99335e-06
log_fdev[1](46)    -0.183866 -9.41002e-05
log_fdev[1](47)     -4.62818  -0.00012527
log_fdev[1](48)     -4.68372 -9.43769e-05
log_fdev[1](49)     -0.96373  5.32689e-06
log_fdev[2](1)     0.287008  -0.00035524
log_fdev[2](2)     0.731931    0.0005012
log_fdev[2](3)     0.714156  0.000302124
log_fdev[2](4)     0.789742 -0.000299842
log_fdev[2](5)      1.50909 -6.40902e-05
log_fdev[2](6)      1.28724  0.000478026
log_fdev[2](7)      2.58248   2.7754e-05
log_fdev[2](8)      2.33808  0.000125229
log_fdev[2](9)      3.59513  5.62192e-05
log_fdev[2](10)      2.37719  3.51885e-05
log_fdev[2](11)      1.27165  -0.00119047
log_fdev[2](12)     0.782868  0.000917711
log_fdev[2](13)      1.54182 -0.000902631
log_fdev[2](14)     0.103129  0.000279173
log_fdev[2](15)      0.54493  0.000694058
log_fdev[2](16)     0.957199 -0.000147416
log_fdev[2](17)     0.795676 -0.000698188
log_fdev[2](18)      1.25631 -0.000219219
log_fdev[2](19)    -0.502239   0.00128003
